insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
1.81,3201,28558,1.67077341515,1.51333152257,12.4481132075,9.07724577021,30.0739214726
1.82,3224,28558,1.68277834753,1.51672583943,10.2983957219,9.01003060104,30.2900102555
1.83,3256,27468,1.69948086214,1.52416480958,12.6798179059,8.57698656811,28.8911746564
1.84,3301,29430,1.67813450369,1.52931467626,10.4403669725,9.05905170514,30.2064210664
1.85,3336,28122,1.6883247077,1.53737307546,10.90625,8.56176373595,28.7015200309
1.86,3386,28994,1.71362933462,1.54649762195,12.9909774436,8.69096616589,30.8453280231
1.87,3433,28340,1.73741568392,1.55628497459,12.8622386224,8.37281702155,29.5360666266
1.88,3453,28122,1.72306956254,1.55514798793,10.1340713407,8.25750103733,29.2921825631
1.89,3477,28558,1.73504571936,1.55955308692,12.8488529015,8.32567445108,29.4957772291
1.9,3501,29648,1.74702187618,1.56253723127,11.008356546,8.58130076356,29.699371895
1.91,3532,29212,1.76249107874,1.56713291771,10.4312039312,8.37687040186,29.9623483385
1.92,3589,26378,1.79093445118,1.56968115857,12.3329571106,7.4364799733,26.8640167678
1.93,3641,26814,1.80411818142,1.57705124215,12.0166270784,7.4448875076,27.0617727214
1.94,3654,29648,1.810559691,1.57465042753,11.0917573872,8.20040995645,30.779514747
1.95,3671,29212,1.81898320352,1.57226314012,12.0776152981,8.0398140218,29.1037312563
1.96,3692,29866,1.82938871898,1.5706637606,11.1535433071,8.17026137106,31.0996082227
1.97,3714,28994,1.84028973518,1.5671236036,10.2714429869,7.88137079219,29.444635763
1.98,3758,28776,1.77757251031,1.56225323582,11.9360465116,7.72468633645,28.4411601649
1.99,3795,29212,1.78591232831,1.55373985746,13.0449251248,7.76006220922,28.5745972529
2.0,3807,24198,1.78368615953,1.54885989606,11.7308085977,6.40642910821,23.1879200739
2.01,3816,29866,1.78790291168,1.54306348623,13.3150912106,7.88716238128,28.6064465869
2.02,3834,30084,1.79633641598,1.53132032787,12.314861461,7.90476220958,28.7413826557
2.03,3856,21800,1.79243288886,1.51516002796,11.376753507,5.69330707753,21.5091946663
2.04,3882,23326,1.77328952287,1.4855578416,12.6002604167,6.04816364997,23.0527637973
2.05,3911,28558,1.78653666253,1.30098374293,11.5037257824,7.34620897561,26.798049938
2.06,3921,29866,1.79110464173,1.26299477732,11.0641025641,7.66167848804,28.6576742676
2.07,3931,29866,1.77812895272,1.23430143211,13.8011049724,7.64060610834,28.4500632435
2.08,3943,29648,1.78355697292,1.23120771455,12.2551159618,7.56007191628,28.5369115668
2.09,3962,28122,1.79215133825,1.21451214521,11.330552659,7.13443860399,26.8822700738
2.1,3981,29212,1.74995023997,1.20354518703,12.9726027397,7.37335851937,26.2492535995
2.11,3997,29430,1.75698344867,1.19919713856,13.3071216617,7.39671874149,26.3547517301
2.12,4001,29866,1.75128249987,1.19739874918,11.5652173913,7.49818265636,26.269237498
2.13,4008,30084,1.75434647825,1.19448458069,13.2874058127,7.53885737407,28.069543652
2.14,4019,28994,1.75916130142,1.19348734658,11.5492957746,7.24458877426,26.3874195213
2.15,4024,30084,1.7613498574,1.19222733714,11.5727136432,7.50701015916,26.4202478611
2.16,4033,30084,1.76528925818,1.19262000855,14.0124378109,7.48934680984,26.4793388727
2.17,4040,29866,1.76835323656,1.19185436877,13.8474842767,7.42150438737,26.5252985484
2.18,4043,30084,1.76966637015,1.19098925928,13.3949930459,7.46967192122,26.5449955523
2.19,4044,30084,1.77010408135,1.19106220165,13.8773584906,7.46770065574,26.5515612202
2.2,4047,30084,1.6665895198,1.19125731452,12.600284495,7.46181574542,24.9988427971
2.21,4052,30084,1.66864856295,1.19033769577,12.1554921541,7.45219788542,25.0297284442
2.22,4062,27032,1.66159234087,1.18978731665,12.9471598415,6.67888049283,23.2622927722
2.23,4067,29212,1.66363762933,1.19057267267,13.9575289575,7.20817419481,24.9545644399
2.24,4068,5014,1.66404668702,1.19057463073,13.4674846626,1.23690778868,4.99214006105
2.25,4073,5668,1.63282449609,1.19018589727,12.6694444444,1.39642380404,4.89847348826
2.26,4076,30084,1.63402716574,1.19028680286,12.5500725689,7.40613134804,24.5104074861
2.27,4076,30084,1.63402716574,1.19028680286,12.5734720416,7.40613134804,24.5104074861
2.28,4080,29648,1.63563072527,1.19079817004,12.6603325416,7.29144624931,24.5344608791
2.29,4081,30084,1.63603161516,1.1909622244,12.0864799026,7.39686294743,24.5404742273
2.3,4084,29430,1.63479654375,1.19123097817,13.0708898944,7.23049159957,24.5219481563
2.31,4085,30084,1.63519683673,1.19137335864,12.4121287129,7.38928215489,24.527952551
2.32,4087,29866,1.6359974227,1.19114995408,11.3680104031,7.3320069672,24.5399613405
2.33,4090,30084,1.63719830165,1.19120911845,12.789044289,7.37998224887,24.5579745248
2.34,4091,29648,1.63759859463,1.19127965906,12.8941798942,7.27123703148,24.5639789195
2.35,4093,30084,1.53735492167,1.19140531664,13.2838983051,7.37439541283,23.060323825
2.36,4094,29866,1.5216540057,1.19143540288,13.2868949233,7.31912364169,22.8248100855
2.37,4094,28776,1.5216540057,1.19143540288,12.2396251673,7.0520023409,22.8248100855
2.38,4097,30084,1.52276904283,1.19205010184,12.6271870794,7.36708144707,22.8415356425
2.39,4098,28558,1.52314072188,1.19219304937,13.1871257485,6.9916573863,21.3239701063
2.4,4098,30084,1.52314072188,1.19219304937,13.1109422492,7.36525739931,22.8471108282
2.41,4098,30084,1.52314072188,1.19219304937,14.152639087,7.36525739931,22.8471108282
2.42,4098,30084,1.52314072188,1.19219304937,13.9293785311,7.36525739931,22.8471108282
2.43,4098,26378,1.52314072188,1.19219304937,12.3612903226,6.457943082,19.8008293844
2.44,4099,30084,1.52351240092,1.19230463746,14.1315028902,7.36346029533,22.8526860138
2.45,4099,30084,1.52351240092,1.19230463746,13.6513249651,7.36346029533,22.8526860138
2.46,4099,30084,1.52351240092,1.19230463746,12.6503957784,7.36346029533,22.8526860138
2.47,4100,30084,1.51051062556,1.19256067456,14.3293768546,7.36162128334,22.6576593834
