pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
3300 62267 3.77772402763 0.989754525485  3.47884607315 0.989806024179
3400 63519 3.72653603554 0.989328262031  3.60495710373 0.990114117819
3500 64632 3.72293901443 0.9895311299  3.56219410896 0.989423455333
3600 65616 3.68879294395 0.989661027227  3.60368609428 0.989772907734
3700 66592 3.79037189484 0.990065537795  3.84399008751 0.990783700046
3800 66624 3.91009497643 0.989804587935  3.72925806046 0.990693555404
3900 68744 3.97768115997 0.990139606152  3.73705196381 0.990632246097
4000 70032 3.92591714859 0.990062250509  3.89139986038 0.99068015368
4100 71079 4.01701283455 0.990117595097  3.90555715561 0.990726716772
4200 71349 4.08522510529 0.990577388436  3.94484400749 0.991076977715
4300 72791 4.18323493004 0.990327222341  4.02646303177 0.99126180159
4400 73548 4.11553287506 0.990423533769  3.98343014717 0.991257565568
4500 74327 4.19593501091 0.990589504995  4.08882212639 0.991123925825
4600 75065 4.21210622787 0.990825091944  4.21493411064 0.991249139663
4700 75926 4.33012199402 0.99064841926  4.08046793938 0.991660473949
4800 76209 4.3700261116 0.990912783024  4.18294000626 0.99149964695
4900 77073 4.43487596512 0.990613610265  4.239579916 0.991665231161
5000 78501 4.45209407806 0.99093136042  4.38587808609 0.991502160579
5100 79237 4.5708899498 0.991051589218  4.4258389473 0.992616972069
5200 80659 4.48095297813 0.991063834885  4.33495998383 0.991885312415
5300 81496 4.68167495728 0.991106953391  4.49806690216 0.993270157404
5400 82087 4.66230893135 0.991191289948  4.46796894073 0.99218572761
5500 82975 4.79545402527 0.991349521364  4.54204201698 0.991727209395
5600 84103 4.71293592453 0.991245564806  4.52591180801 0.99195594332
5700 84907 4.78861093521 0.991120478181  4.52977204323 0.991501854141
5800 85506 4.88864588737 0.99144369435  4.70286393166 0.992100517013
5900 86550 4.92180895805 0.991316061945  4.68581104279 0.992392223161
6000 86919 4.92680311203 0.991457777485  4.63926196098 0.991692437608
6100 88269 5.07719898224 0.991701110125  4.67629289627 0.992351416383
6200 89166 5.02745199203 0.991711615487  4.84276080132 0.992358278722
6300 90128 5.20020890236 0.991699671358  4.93709993362 0.992470779184
6400 90918 5.32029104233 0.991784921931  4.91878318787 0.992453248987
6500 91900 5.45390701294 0.991736642792  4.89376401901 0.99256293546
6600 92808 5.60174584389 0.991784906541  5.00311398506 0.992393902026
6700 93881 5.44669604301 0.991679667187  5.02777290344 0.992629501619
6800 94646 5.60150313377 0.991800641519  5.13714194298 0.992646610118
6900 96477 5.7152030468 0.991750977236  5.29449486732 0.992627421866
7000 97844 5.87073588371 0.991638875429  5.28353285789 0.99225316612
7100 98857 5.74629116058 0.991886390622  5.25421595573 0.99256938136
7200 99694 5.54667401314 0.991711651237  5.30194187164 0.992512689075
7300 100577 5.89606618881 0.992078895317  5.30911493301 0.992729551241
7400 101594 5.81071901321 0.992041583189  5.37447094917 0.992913697546
7500 101780 6.01692295074 0.992255645227  5.46883392334 0.992929292929
7600 103339 6.55858302116 0.992051958304  5.53768396378 0.99472345979
7700 104716 5.87495088577 0.992175621727  5.64902591705 0.992945126667
7800 105158 6.12762498856 0.992026414697  5.70825386047 0.992911235144
7900 106285 6.0409040451 0.992061967305  5.77453684807 0.99303736883
8000 107578 6.06895303726 0.992166473193  5.85483407974 0.992875336853
8100 108711 6.20464396477 0.992409754273  5.8836619854 0.99317173725
8200 109692 6.40431594849 0.992295385652  5.89240694046 0.992906398626
8300 110472 6.43025398254 0.992296368168  6.00335001945 0.993103261507
8400 111759 6.1080198288 0.992678990366  6.10216212273 0.993391891526
8500 112085 6.30295801163 0.992563655275  6.21072411537 0.99329245091
8600 113735 6.50218105316 0.992556293536  6.10699295998 0.992929037214
8700 114215 6.57986402512 0.992558349307  6.26318311691 0.993200206576
8800 114926 6.56507396698 0.992782787508  6.23750686646 0.993078789427
8900 116789 6.5335278511 0.992735117301  6.24640893936 0.993400788192
9000 117224 6.54024195671 0.992586490939  6.35434818268 0.993135203014
9100 117676 6.75840806961 0.992588378328  6.26536488533 0.993221384739
9200 118805 6.72521018982 0.992635182652  6.44910597801 0.993384096867
9300 119514 6.90195989609 0.992549637083  6.4420440197 0.993269073681
9400 120598 6.94264006615 0.992763062672  6.41721701622 0.99339565791
9500 121539 7.15150308609 0.992968045526  6.57264184952 0.993376087432
9600 122396 7.08605194092 0.992779620479  6.54407501221 0.993482384604
9700 122851 6.93232393265 0.992731614492  6.65619015694 0.993565610787
9800 124140 6.86040997505 0.992747247873  6.66630196571 0.993628857156
9900 125018 7.35375094414 0.992857511027  6.61727499962 0.993495202415
10000 125581 6.99881696701 0.992860379123  6.68540596962 0.993565995737
