pulls_performed filesystem_size aged_time aged_layout_score clean_time clean_layout_score
4700 75926 8.54788804054 0.990321669705  8.04007697105 0.991551806716
4800 76209 8.83028316498 0.990404021172  8.66676807404 0.991118701964
4900 77073 9.12317895889 0.990656773839  8.17003202438 0.991461309871
5000 78501 9.149518013 0.990586727779  8.23451805115 0.991099328928
5100 79237 8.89073896408 0.990824350109  8.46231603622 0.990891892908
5200 80659 9.29514408112 0.991196146963  8.5707681179 0.99156097136
5300 81496 9.23726511002 0.991059310936  8.30547904968 0.991931797121
5400 82087 9.48515605927 0.99115450755  8.66169285774 0.991555593356
5500 82975 9.47470617294 0.990891430034  8.63516998291 0.992108866415
5600 84103 9.38223791122 0.991019818332  8.915569067 0.991607958135
5700 84907 9.67405486107 0.991003271538  8.63891601562 0.99156577981
5800 85506 9.95948505402 0.991082403951  9.15412902832 0.991352091749
5900 86550 10.1182618141 0.991069060041  8.79404783249 0.991456543826
6000 86919 10.1790928841 0.990697063555  9.27430605888 0.991369044244
6100 88269 10.0597720146 0.991244873002  18.1275091171 0.992245274113
6200 89166 10.1671051979 0.991278915182  9.35368800163 0.991796572692
6300 90128 10.2322149277 0.99125115809  9.45588493347 0.991889063318
6400 90918 9.86303281784 0.991232170869  9.53180599213 0.99196952315
6500 91900 10.4633569717 0.991406812802  9.36675810814 0.991875466468
6600 92808 10.1988399029 0.991378343949  9.33635616302 0.992091936524
6700 93881 10.2765378952 0.991349585021  9.80240607262 0.992052662827
6800 94646 10.9892849922 0.991200858453  9.95017886162 0.992239894641
6900 96477 10.7725288868 0.991459403312  10.0578460693 0.992531665737
7000 97844 10.889482975 0.99166222493  10.1252920628 0.992388239238
7100 98857 10.9740869999 0.991590670189  10.1548991203 0.992424168178
7200 99694 11.0733690262 0.991611619877  9.99411797523 0.992487390239
7300 100577 10.7647500038 0.991683586905  10.063480854 0.992541771859
7400 101594 11.0059669018 0.991766170301  10.3824410439 0.99221237251
7500 101780 11.1024460793 0.991874066246  10.5686490536 0.992786472049
7600 103339 10.9402339458 0.99186407156  10.5131890774 0.992558294903
7700 104716 10.9197390079 0.992123671704  10.3832130432 0.992518657233
7800 105158 11.1071941853 0.992179243289  10.7351739407 0.99256248693
7900 106285 11.6731078625 0.992069019553  10.5599930286 0.992811732409
8000 107578 11.7938919067 0.99195370578  11.0104589462 0.992812885024
8100 108711 11.809705019 0.992219123099  10.6253111362 0.99273975489
8200 109692 11.7822320461 0.991982182628  10.7159099579 0.992872739977
8300 110472 12.2979860306 0.991903511266  10.8625378609 0.993045429052
8400 111759 11.7071139812 0.992253737925  11.232929945 0.99293543415
8500 112085 11.8452460766 0.992287157583  11.102907896 0.992945565542
8600 113735 12.0113890171 0.992325678021  11.0541629791 0.992860618467
8700 114215 12.0161788464 0.99234771962  11.2437200546 0.993239868127
8800 114926 12.4516639709 0.992448030526  11.5121788979 0.993013265743
8900 116789 12.1367058754 0.992615272347  11.4553749561 0.992891652793
9000 117224 12.2115700245 0.992581649011  11.3938651085 0.993227091633
9100 117676 12.4519159794 0.992386262475  11.1340999603 0.993091049806
9200 118805 12.2387928963 0.992604352203  11.8556208611 0.99282086501
9300 119514 12.668254137 0.992261406165  11.9778211117 0.993079803954
9400 120598 12.3631901741 0.992537028116  12.1380550861 0.993126340677
9500 121539 12.6387650967 0.992609325137  11.6030888557 0.993236118813
9600 122396 13.1219570637 0.992543945533  11.9115490913 0.993218392588
9700 122851 13.0433189869 0.992680647452  12.1700818539 0.993132508929
9800 124140 12.9520800114 0.992682292634  21.8854379654 0.993530119198
9900 125018 13.0602068901 0.992604553766  12.4284050465 0.992934415914
10000 125581 12.9170339108 0.99275520765  12.3632180691 0.993250835219
