3070000, 55169,3070000, 6432
3080000, 54341,3080000, 8112
3090000, 55477,3090000, 8065
3100000, 55593,3100000, 7045
3110000, 55004,3110000, 8136
3120000, 56246,3120000, 9772
3130000, 56040,3130000, 9487
3140000, 53651,3140000, 7552
3150000, 56507,3150000, 9309
3160000, 55334,3160000, 9317
3170000, 56915,3170000, 9756
3180000, 55116,3180000, 10753
3190000, 56146,3190000, 10389
3200000, 56976,3200000, 8936
3210000, 55588,3210000, 8920
3220000, 55993,3220000, 7842
3230000, 57067,3230000, 10370
3240000, 55200,3240000, 11657
3250000, 55295,3250000, 9596
3260000, 57275,3260000, 9110
3270000, 56256,3270000, 10531
3280000, 56075,3280000, 10434
3290000, 53464,3290000, 11617
3300000, 56071,3300000, 11488
3310000, 56367,3310000, 10308
3320000, 57289,3320000, 9958
3330000, 56713,3330000, 10573
3340000, 55814,3340000, 12051
3350000, 57241,3350000, 11499
3360000, 56445,3360000, 13642
3370000, 54740,3370000, 11531
3380000, 56062,3380000, 13721
3390000, 56647,3390000, 9755
3400000, 55818,3400000, 10555
3410000, 56548,3410000, 12484
3420000, 56633,3420000, 10924
3430000, 58917,3430000, 12417
3440000, 56430,3440000, 10317
3450000, 55957,3450000, 13046
3460000, 57126,3460000, 11899
3470000, 56943,3470000, 11698
3480000, 55955,3480000, 10401
3490000, 56505,3490000, 13078
3500000, 55995,3500000, 11771
3510000, 56306,3510000, 10341
3520000, 57495,3520000, 13702
3530000, 58365,3530000, 11345
3540000, 56145,3540000, 14165
3550000, 58358,3550000, 12700
3560000, 57268,3560000, 11912
3570000, 57829,3570000, 9964
3580000, 56903,3580000, 14236
3590000, 56352,3590000, 11568
3600000, 58674,3600000, 17679
3610000, 59105,3610000, 11157
3620000, 56926,3620000, 13730
3630000, 57739,3630000, 11352
3640000, 57490,3640000, 15820
3650000, 58631,3650000, 9790
3660000, 58451,3660000, 13803
3670000, 57515,3670000, 12578
3680000, 55604,3680000, 11184
3690000, 60588,3690000, 12998
3700000, 56456,3700000, 11079
3710000, 57673,3710000, 11435
3720000, 57966,3720000, 11137
3730000, 57339,3730000, 11694
3740000, 58882,3740000, 13408
3750000, 57022,3750000, 12321
3760000, 58688,3760000, 13210
3770000, 58286,3770000, 13077
3780000, 59957,3780000, 11852
3790000, 58811,3790000, 13129
3800000, 58900,3800000, 13508
3810000, 57471,3810000, 11651
3820000, 58575,3820000, 13837
3830000, 58845,3830000, 12319
3840000, 58516,3840000, 12574
3850000, 59347,3850000, 10927
3860000, 57520,3860000, 13334
3870000, 57855,3870000, 10780
3880000, 57569,3880000, 12028
3890000, 61126,3890000, 12366
3900000, 58262,3900000, 14263
3910000, 59640,3910000, 12202
3920000, 58000,3920000, 11393
3930000, 58160,3930000, 12404
3940000, 59949,3940000, 10734
3950000, 58489,3950000, 12960
3960000, 58858,3960000, 14589
3970000, 59345,3970000, 9074
3980000, 58660,3980000, 13400
3990000, 58830,3990000, 12268
4000000, 58965,4000000, 11627
4010000, 58858,4010000, 10509
4020000, 59400,4020000, 12419
4030000, 59862,4030000, 10983
4040000, 59537,4040000, 10875
4050000, 59121,4050000, 11670
4060000, 59087,4060000, 11826
4070000, 59825,4070000, 10424
4080000, 59201,4080000, 12691
4090000, 59968,4090000, 10675
4100000, 59076,4100000, 8561
4110000, 61003,4110000, 13379
4120000, 57089,4120000, 11882
4130000, 61004,4130000, 11676
4140000, 59591,4140000, 10320
4150000, 58384,4150000, 12738
4160000, 61579,4160000, 10904
4170000, 57699,4170000, 13758
4180000, 59514,4180000, 11038
4190000, 59678,4190000, 9714
4200000, 59290,4200000, 10866
4210000, 58580,4210000, 11868
4220000, 59512,4220000, 9485
4230000, 59886,4230000, 8411
4240000, 59532,4240000, 10444
4250000, 58332,4250000, 14247
4260000, 57311,4260000, 9464
4270000, 59905,4270000, 10144
4280000, 60204,4280000, 9924
4290000, 56844,4290000, 10963
4300000, 60006,4300000, 10504
