fs, files, files.sec
btrfs, 720000, 1255.766039
btrfs, 730000, 1124.414620
btrfs, 740000, 1139.750953
btrfs, 750000, 1155.143520
btrfs, 760000, 1129.153711
btrfs, 770000, 1035.198022
btrfs, 780000, 1036.788013
btrfs, 790000, 1049.983621
btrfs, 800000, 1027.228626
btrfs, 810000, 951.930881
btrfs, 820000, 956.893787
btrfs, 830000, 954.356939
btrfs, 840000, 942.443441
btrfs, 850000, 860.079949
btrfs, 860000, 870.167123
btrfs, 870000, 870.599551
btrfs, 880000, 851.310677
btrfs, 890000, 784.647446
btrfs, 900000, 785.022815
btrfs, 910000, 793.741112
btrfs, 920000, 777.397213
btrfs, 930000, 703.759499
btrfs, 940000, 711.302056
btrfs, 950000, 707.339923
btrfs, 960000, 705.250829
btrfs, 970000, 628.746065
btrfs, 980000, 627.099332
btrfs, 990000, 624.273567
btrfs, 1000000, 615.019732
btrfs, 1010000, 559.063555
btrfs, 1020000, 564.598675
btrfs, 1030000, 557.671253
btrfs, 1040000, 551.152096
btrfs, 1050000, 502.569122
btrfs, 1060000, 499.641865
btrfs, 1070000, 500.075112
btrfs, 1080000, 493.699191
btrfs, 1090000, 444.538845
btrfs, 1100000, 441.701273
btrfs, 1110000, 440.946156
btrfs, 1120000, 426.797592
btrfs, 1130000, 379.730075
btrfs, 1140000, 383.090344
btrfs, 1150000, 377.118510
btrfs, 1160000, 373.343320
btrfs, 1170000, 375.581092
btrfs, 1180000, 378.729787
btrfs, 1190000, 381.278704
btrfs, 1200000, 382.691036
btrfs, 1210000, 366.829459
btrfs, 1220000, 369.809932
btrfs, 1230000, 372.146939
btrfs, 1240000, 373.421132
btrfs, 1250000, 359.379784
btrfs, 1260000, 358.380374
btrfs, 1270000, 361.196166
btrfs, 1280000, 363.334996
btrfs, 1290000, 355.789337
btrfs, 1300000, 350.244439
btrfs, 1310000, 350.282315
btrfs, 1320000, 352.555775
btrfs, 1330000, 353.226270
btrfs, 1340000, 355.859443
btrfs, 1350000, 349.124234
btrfs, 1360000, 345.376363
btrfs, 1370000, 345.450869
btrfs, 1380000, 346.467953
btrfs, 1390000, 344.437087
btrfs, 1400000, 337.963877
btrfs, 1410000, 339.689338
btrfs, 1420000, 339.356033
btrfs, 1430000, 341.741678
btrfs, 1440000, 335.376752
btrfs, 1450000, 332.319173
btrfs, 1460000, 332.273944
btrfs, 1470000, 333.701154
btrfs, 1480000, 331.929785
btrfs, 1490000, 324.601468
btrfs, 1500000, 326.772717
btrfs, 1510000, 318.976580
btrfs, 1520000, 316.411486
btrfs, 1530000, 317.351343
btrfs, 1540000, 314.365971
btrfs, 1550000, 311.170823
btrfs, 1560000, 303.230770
btrfs, 1570000, 303.851148
btrfs, 1580000, 304.467281
btrfs, 1590000, 302.287356
btrfs, 1600000, 296.302195
btrfs, 1610000, 297.018872
btrfs, 1620000, 290.213460
btrfs, 1630000, 286.134925
btrfs, 1640000, 285.194499
btrfs, 1650000, 284.890814
btrfs, 1660000, 273.492250
btrfs, 1670000, 274.395059
btrfs, 1680000, 269.732536
btrfs, 1690000, 269.683148
btrfs, 1700000, 265.985936
btrfs, 1710000, 261.284874
btrfs, 1720000, 254.242003
btrfs, 1730000, 255.712196
btrfs, 1740000, 255.214873
btrfs, 1750000, 240.558128
btrfs, 1760000, 240.285550
btrfs, 1770000, 241.649581
btrfs, 1780000, 238.418998
btrfs, 1790000, 235.671822
btrfs, 1800000, 236.905882
btrfs, 1810000, 238.039951
btrfs, 1820000, 238.992807
btrfs, 1830000, 233.814323
