4kbfiles betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
1100 16.25698864 35.72613636 2148.563693 211.9553409 475.055 53.76931818 149.0007386 56.826875 694.8241477 117.4977273 0.9946524064 0.9883512545 0.04215775159 0.2126019946 0.05447154472 0.893495935 0.005956813105 0.9046920821 0.001615508885 0.2356321839
1200 27.54520833 31.56432292 1873.072656 199.3456771 142.4979688 42.95973958 152.6615104 55.06572917 973.3852604 122.6433854 0.994627782 0.9885057471 0.0428200692 0.2171280277 0.05239520958 0.8974550898 0.004810996564 0.8967391304 0.0007412898443 0.2057057057
1300 17.67495192 32.77807692 1937.444183 189.458125 137.6471635 43.86394231 119.3545673 46.53014423 970.2179327 103.3091346 0.9960238569 0.9909090909 0.04466501241 0.2063688999 0.05062413315 0.9008321775 0.004467134652 0.9076052797 0.000683994528 0.2031900139
1400 23.61334821 25.9234375 1773.218393 262.9832143 106.3470982 61.17321429 134.8345089 63.74741071 863.1858929 128.3618304 0.996582365 0.990851513 0.04516640254 0.1996830428 0.04967741935 0.9025806452 0.004166666667 0.8963093146 0.001273074475 0.2142394822
1500 18.448625 25.87641667 1608.919625 180.4095833 115.7926667 35.22445833 140.4088333 74.38858333 883.04325 136.7851667 0.9942418426 0.9908015769 0.04599011783 0.1980235652 0.04830917874 0.9051932367 0.006134969325 0.8872468528 0.001187648456 0.2173913043
1600 23.23660156 26.04597656 1147.893672 212.1437891 132.7477344 32.63773438 156.8108984 51.41710938 1167.692578 78.91910156 0.9965257672 0.9901477833 0.04601899196 0.1954694921 0.04710556186 0.9074914869 0.004190675746 0.9073019161 0.001112966055 0.2100792752
1700 15.39198529 26.77261029 1159.028051 203.0132353 133.3791544 40.80595588 410.9931985 51.93242647 1000.351691 101.3220221 0.9973103819 0.9890470975 0.04606188467 0.1906436862 0.0460385439 0.9095289079 0.00445324097 0.8976493634 0.001045478306 0.2026666667
1800 17.45690972 20.70951389 1259.810486 224.3561111 317.7360069 33.726875 158.6990625 46.33774306 1098.461285 91.07798611 0.9979253112 0.989119171 0.04610169492 0.1817565276 0.04508611955 0.9113475177 0.005154639175 0.9204281061 0.0004926108374 0.2107645875
1900 14.31167763 20.54273026 1238.510362 179.6020395 130.1085526 37.37470395 270.5928947 50.71713816 1114.214638 121.4415132 0.9975296443 0.9895209581 0.04712041885 0.2012434555 0.04423076923 0.9129807692 0.004897595726 0.9086496028 0.0004655493482 0.2074215033
2000 15.1931875 19.45921875 1150.009344 196.35225 109.9406875 32.16653125 434.238 53.941375 1199.20825 110.7510938 0.9985666507 0.9895437262 0.0468058191 0.1941195068 0.04345837145 0.9144556267 0.00509121765 0.9092436975 0.0008822232025 0.2105500451
