4kbfiles betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
3200 9.291132813 10.01962891 44.66810547 41.36378906 33.97535156 12.00216797 40.01882813 15.52382813 54.15509766 50.26414063 0.9976477507 0.9895428742 0.05069851284 0.1789094187 0.03869477332 0.9237655212 0.01545134183 0.9350229172 0.003521126761 0.218352681
3300 9.317784091 10.00310606 44.00522727 41.58342803 34.01056818 12.05172348 39.91507576 15.55554924 55.35869318 48.87293561 0.9980485085 0.9886197841 0.05061619718 0.1786971831 0.03866629308 0.9240683665 0.01764086361 0.9339622642 0.003938041481 0.229547901
3400 9.223841912 10.11637868 43.51805147 40.6240625 33.94016544 11.94242647 39.76538603 15.46880515 55.19626838 49.62965074 0.997227613 0.9897901305 0.05052676844 0.188172043 0.03836734694 0.9246258503 0.0168797954 0.9349097381 0.003306205493 0.2288246026
3500 9.374267857 10.07808929 43.29907143 40.59808929 33.84046429 11.82480357 39.82903571 15.129375 55.87967857 49.22541071 0.9981756581 0.9912063754 0.05066218205 0.1751471825 0.03808516266 0.9251520762 0.01813214108 0.9382411067 0.00370096225 0.2119757453
3600 9.241597222 10.130625 43.24697917 40.36144097 33.81557292 11.96862847 39.79979167 15.09708333 54.41256944 51.74744792 0.9979762206 0.9906691549 0.05058605799 0.1772568373 0.03781836892 0.9256496012 0.0157042764 0.9410065013 0.003591954023 0.2267384917
3700 9.130608108 9.996385135 42.95951014 39.55972973 33.88076014 11.92189189 39.48944257 15.14555743 54.87423986 50.81065878 0.9975006248 0.9913928013 0.0509054326 0.1744817871 0.03756574005 0.9261207112 0.01459166863 0.931802203 0.003953488372 0.2125178486
3800 9.312664474 9.723601974 42.62337171 40.115 33.84486842 11.73715461 39.16009868 14.96001645 55.47697368 52.03814145 0.9975345168 0.9905852417 0.05102442868 0.1708037825 0.0377956596 0.9261155816 0.01628440367 0.9365151861 0.003847024214 0.2218358832
3900 9.114615385 10.03298077 42.41766026 39.69277244 33.77341346 11.65405449 39.14240385 15.04317308 53.64966346 49.95429487 0.9976133652 0.9910802775 0.05095541401 0.1730991895 0.03755645353 0.9265509865 0.01767337808 0.9396973743 0.003970880212 0.227006312
4000 8.944875 9.85228125 42.23317188 39.02373438 33.81598438 11.85035938 39.42095313 15.08421875 53.80014063 50.61010938 0.9979176307 0.9901655073 0.05049167927 0.1703857791 0.03732900533 0.9269649896 0.01703428696 0.9428385134 0.003655913978 0.2172005265
4100 9.033490854 10.04318598 42.10428354 39.10439024 33.86920732 11.75588415 39.30926829 14.77954268 55.5754878 50.9864939 0.9970654628 0.990864371 0.05098257323 0.1692621431 0.03711246888 0.927359131 0.01663113006 0.9448451421 0.003560955174 0.2103123663
4200 9.623422619 9.990193452 41.91970238 38.81416667 33.84315476 11.63388393 39.18622024 14.90063988 55.84497024 50.9934375 0.9980302035 0.9898989899 0.05109090909 0.1676058898 0.03690607735 0.9277348066 0.01707621824 0.9423953585 0.003677973028 0.2364963504
4300 8.989898256 9.897819767 41.50898256 38.87271802 33.673125 11.72069767 39.31764535 14.67988372 55.40388081 51.20268895 0.9976734349 0.992748697 0.05136436597 0.1631888711 0.0367091341 0.9280932844 0.01363728883 0.9392589593 0.003587801475 0.2151872964
4400 9.172414773 9.704332386 41.19259943 38.3262358 33.75896307 11.87619318 39.18106534 14.47910511 55.62509943 51.05517045 0.9977116705 0.9911641264 0.05128653947 0.1592858393 0.03651329675 0.9278176446 0.01352695445 0.9397423191 0.003699376947 0.2242544732
4500 9.056736111 9.751236111 41.17804167 38.31094444 33.63773611 11.67845833 39.32334722 14.55831944 55.45795833 49.18473611 0.9969580207 0.992414391 0.05120274914 0.164604811 0.03633360859 0.9281585467 0.01342934994 0.9418604651 0.00361354127 0.2142579643
4600 8.824225543 9.581766304 41.13244565 38.21108696 33.52017663 11.79157609 38.95209239 14.3990625 54.76808424 50.6883288 0.9978017586 0.9927996612 0.05113924051 0.1751603105 0.03634894992 0.9281098546 0.01222774169 0.9438223572 0.003901170351 0.2248385872
4700 8.859787234 9.669441489 40.89256649 37.88550532 33.59257979 11.79792553 39.32009309 14.3606383 55.15727394 50.02823138 0.9974559687 0.9917064068 0.05106100796 0.1687945614 0.03617315675 0.927851354 0.01290926099 0.9437325905 0.00345580211 0.2048707938
4800 9.067291667 9.649895833 40.75591146 37.69833333 33.45760417 11.76988281 39.27682292 14.39322917 54.86264323 50.29265625 0.9973215994 0.9924827306 0.05148256761 0.160149886 0.03620522749 0.9283639884 0.01336996337 0.938886868 0.004096170971 0.2222020349
4900 8.999553571 9.532844388 40.67919643 37.56132653 33.59508929 11.9798852 39.10932398 14.52790816 54.54788265 50.52781888 0.9977439368 0.9924393156 0.0514011209 0.1582065653 0.03603945372 0.9283004552 0.01309651956 0.9428215176 0.004008365284 0.2160241606
