16kbchunks betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
89 5.035400281 4.044732597 4.14920646 4.715415011 4.177865169 2.524197182 4.112977528 3.210512825 5.843953652 6.143015657 0.997244011 0.998777642 0.001442201021 0.1599359512 0.000555062167 0.9992141895 0.009295713036 0.9974215247 0.9580252057 0.9712529945
90 4.981409722 4.001542833 4.049222222 4.855799865 4.147729166 2.588254293 4.188069445 3.30256229 5.713777778 6.176546733 0.9973609205 0.9987912088 0.001426377002 0.1665480137 0.0005489679403 0.999222913 0.007895306078 0.9976718404 0.9580252057 0.9753150713
91 5.031236264 4.01841216 4.052081043 4.775964422 4.233021978 2.546632872 4.061620879 3.252486345 5.71021978 5.904551747 0.9973228995 0.9988044778 0.001410896462 0.1656298637 0.0005430060817 0.9992314449 0.009093826896 0.9976973684 0.9581293615 0.9722945527
92 4.911467391 4.093722137 4.011576087 4.826196256 4.132758152 2.510683142 4.159483696 3.273730568 5.6325 5.988852294 0.9974282481 0.9988174586 2 0.1692111492 0.0005371723249 0.9992397915 0.007727320843 0.9976138829 0.9581293615 0.9757316946
93 5.052977151 3.93788754 4.075409947 4.425836707 4.112251344 2.501573624 4.079663978 3.140247796 5.629301075 5.901147002 0.9971478048 0.9988301606 0.001380922031 0.1568608284 0.000531462585 0.9992479587 0.009006178657 0.997639485 0.9580252057 0.9735444225
94 4.981043883 3.986548891 3.997918883 4.822217901 4.133031914 2.515439459 4.034900266 3.024945847 5.456888297 5.69050517 0.9970918572 0.9988425926 0.0013664074 0.1727471352 0.0005258729491 0.9992559524 0.0077728262 0.9977707006 0.9580252057 0.9717737736
95 4.971493421 3.887167358 4.05980921 4.74319988 4.150815789 2.483080412 4.117375 3.061710719 5.507144737 5.862871191 0.9967177243 0.9988547631 0.001352194716 0.171724081 0.0005203996669 0.9992637779 0.008409393908 0.9976890756 0.9580252057 0.9775023435
96 4.884231771 3.91569519 4.040208334 4.79284652 4.073170573 2.530711174 4.08 3.069068431 5.365787761 5.743089994 0.9973269973 0.9984547234 0.001338274655 0.1753480434 0.000515039143 0.9992714405 0.009333468601 0.997921214 0.9580252057 0.975523383
97 4.842042526 3.93589531 4.035637887 4.703744947 4.049851804 2.474430832 3.959027062 3.146065466 6.086713917 6.309828611 0.9972672262 0.998776509 0.001324638272 0.1738808155 0.0005097879282 0.9992789452 0.00843373494 0.9976337449 0.9607843137 0.9779704711
98 4.835803571 3.884293381 3.970433673 4.805664218 4.128022959 2.518151887 4.187882653 3.089327754 5.894604592 6.396936066 0.9974815963 0.9987889797 0.001311276982 0.1794798374 0.000504642713 0.9992862969 0.006358036956 0.9976578411 0.9607061948 0.9779704711
99 4.743933081 3.916940091 3.948920454 4.538221726 4.019861111 2.526675909 4.099375 3.182991721 6.011837122 6.295030382 0.9974997596 0.9988011988 0.001298182544 0.1712210178 0.0004996003197 0.9992935002 0.008450427434 0.9976816853 0.9607843137 0.980314038
100 4.70566875 4.009261475 4.008625 4.803961791 4.10119375 2.530143433 4.11054375 3.174253083 5.98036875 6.345146637 0.9976231223 0.9988131738 0.001285347044 0.1830778122 0.0004946576969 0.9993005596 0.007194944093 0.997505239 0.9607061948 0.9813295836
