16kbchunks betrfsaged betrfsclean ext4aged ext4clean xfsaged xfsclean btrfsaged btrfsclean zfsaged zfsclean betrfsagedlayout betrfscleanlayout ext4agedlayout ext4cleanlayout xfsagedlayout xfscleanlayout btrfsagedlayout btrfscleanlayout zfsagedlayout zfscleanlayout
16 13.45371094 22.53371094 131.0061328 43.52562809 113.7146485 11.33289242 110.7802734 14.82984375 51.89351562 41.19757812 0.9963942308 0.9981470043 0.00700525394 0.937383757 0.002343292326 0.9956440573 0.01090909091 0.9907063197 0.9357855362 0.937032419
17 12.45261029 23.08455882 141.9347794 35.27982375 111.1735662 13.27806451 124.6015441 15.22375 44.43558824 42.95029412 0.9966666667 0.998255814 0.006618863762 0.942206655 0.002213613724 0.9958992384 0.009692132269 0.9900874636 0.9395539906 0.9395539906
18 13.64694444 17.24135417 138.024375 39.16494582 118.2578125 12.76081763 123.5481597 14.85743056 35.92392361 41.60878472 0.9968051118 0.9983534577 0.006272869838 0.94429123 0.002097535396 0.996126176 0.008625336927 0.9917309813 0.9429046563 0.9440133038
19 12.47322368 16.03809211 151.3935526 32.96864479 109.0499671 14.30286849 103.9246382 14.15924342 41.27828947 42.97467105 0.9965 0.9984399376 0.005961251863 0.9472033455 0.001993024415 0.9963293131 0.009197751661 0.9916449086 0.9464285714 0.9459033613
20 10.5328125 15.63715625 174.838 38.43071213 108.9268437 13.87675705 127.4855 13.4986875 38.22296875 33.78853125 0.9980237154 0.9985177866 0.0056791292 0.9498261302 0.001898433792 0.9965122073 0.008750607681 0.9920595534 0.9486027944 0.9486027944
21 17.09264881 14.57732143 308.1561607 39.32676043 114.8030952 13.47937084 140.4084524 13.04654762 35.85779762 33.86002976 0.9958506224 0.9985882353 0.005422503389 0.9526739233 0.001812415043 0.9966777409 0.007874015748 0.9919621749 0.9510456274 0.9510456274
22 15.28372159 14.31258523 384.3654262 36.11480782 142.0196022 11.99132954 159.3271875 13.43119318 40.61289773 35.99559659 0.9965019676 0.9986522911 0.005188067445 0.9548124718 0.001733853489 0.9968282737 0.01060539107 0.9918735892 0.9532667877 0.9532667877
23 17.65347826 12.47086957 177.0613858 37.98844777 122.7393479 12.46332783 155.9777446 13.82638587 38.80576087 46.8025 0.9962009287 0.9987107864 0.004973062578 0.9563337657 0.001661819693 0.9969657564 0.008868243243 0.9926565875 0.9552951389 0.9557291667
24 12.99927083 20.48294271 444.2684375 33.7056179 141.4673177 12.04067929 145.1402865 13.06536458 31.66940104 38.84645833 0.9972375691 0.9987644152 0.004775169121 0.9585578119 0.001595532509 0.9970918155 0.01131770412 0.9929606625 0.9571547421 0.9575707155
25 17.5518 17.54895 502.0952001 39.32871948 161.8975 12.66730835 183.616575 12.463575 45.98645 39.722975 0.9961832061 0.9988137604 0.004592422503 0.960206924 0.001534330648 0.9972078181 0.009316770186 0.9932405567 0.9588658147 0.9596645367
