fs, data.set, circle.size.4kb, op, time.s
BetrFS-0.2, linuxsrc, 64, grep, 6.470
BetrFS-0.2, linuxsrc, 64, grep, 6.537
BetrFS-0.2, linuxsrc, 64, grep, 7.269
BetrFS-0.2, linuxsrc, 64, grep, 6.720
BetrFS-0.2, linuxsrc, 64, grep, 6.878
BetrFS-0.2, linuxsrc, 64, grep, 7.269
BetrFS-0.2, linuxsrc, 64, grep, 6.554
BetrFS-0.2, linuxsrc, 64, grep, 6.770
BetrFS-0.2, linuxsrc, 64, grep, 6.554
BetrFS-0.2, linuxsrc, 64, grep, 6.703
BetrFS-0.2, linuxsrc, 64, grep, 7.211
BetrFS-0.2, linuxsrc, 64, grep, 6.745
BetrFS-0.2, linuxsrc, 64, grep, 6.720
BetrFS-0.2, linuxsrc, 64, grep, 6.703
BetrFS-0.2, linuxsrc, 64, grep, 6.862
BetrFS-0.2, linuxsrc, 64, grep, 6.728
BetrFS-0.2, linuxsrc, 64, grep, 6.687
BetrFS-0.2, linuxsrc, 64, grep, 6.670
BetrFS-0.2, linuxsrc, 64, grep, 7.161
BetrFS-0.2, linuxsrc, 64, grep, 6.845
BetrFS-0.2, linuxsrc, 64, grep, 6.762
BetrFS-0.2, linuxsrc, 64, grep, 6.753
BetrFS-0.2, linuxsrc, 64, grep, 6.753
BetrFS-0.2, linuxsrc, 64, grep, 6.728
BetrFS-0.2, linuxsrc, 64, grep, 6.712
BetrFS-0.2, linuxsrc, 64, grep, 6.712
BetrFS-0.2, linuxsrc, 64, grep, 7.220
BetrFS-0.2, linuxsrc, 64, grep, 6.737
BetrFS-0.2, linuxsrc, 64, grep, 6.862
BetrFS-0.2, linuxsrc, 64, grep, 6.628
BetrFS-0.2, linuxsrc, 64, grep, 6.795
BetrFS-0.2, linuxsrc, 64, grep, 6.720
BetrFS-0.2, linuxsrc, 64, grep, 6.678
BetrFS-0.2, linuxsrc, 64, grep, 6.662
BetrFS-0.2, linuxsrc, 64, grep, 7.036
BetrFS-0.2, linuxsrc, 64, grep, 6.637
BetrFS-0.2, linuxsrc, 64, grep, 6.945
BetrFS-0.2, linuxsrc, 64, grep, 7.278
BetrFS-0.2, linuxsrc, 64, grep, 6.853
######################################
BetrFS-0.2, linuxsrc, 32, grep, 5.818
BetrFS-0.2, linuxsrc, 32, grep, 5.947
BetrFS-0.2, linuxsrc, 32, grep, 6.649
BetrFS-0.2, linuxsrc, 32, grep, 6.257
BetrFS-0.2, linuxsrc, 32, grep, 6.473
BetrFS-0.2, linuxsrc, 32, grep, 6.939
BetrFS-0.2, linuxsrc, 32, grep, 6.423
BetrFS-0.2, linuxsrc, 32, grep, 6.497
BetrFS-0.2, linuxsrc, 32, grep, 6.425
BetrFS-0.2, linuxsrc, 32, grep, 6.592
BetrFS-0.2, linuxsrc, 32, grep, 6.741
BetrFS-0.2, linuxsrc, 32, grep, 6.775
BetrFS-0.2, linuxsrc, 32, grep, 6.725
BetrFS-0.2, linuxsrc, 32, grep, 7.166
BetrFS-0.2, linuxsrc, 32, grep, 6.667
BetrFS-0.2, linuxsrc, 32, grep, 6.742
BetrFS-0.2, linuxsrc, 32, grep, 7.258
BetrFS-0.2, linuxsrc, 32, grep, 6.655
BetrFS-0.2, linuxsrc, 32, grep, 7.163
BetrFS-0.2, linuxsrc, 32, grep, 6.764
BetrFS-0.2, linuxsrc, 32, grep, 7.096
BetrFS-0.2, linuxsrc, 32, grep, 6.825
BetrFS-0.2, linuxsrc, 32, grep, 6.747
BetrFS-0.2, linuxsrc, 32, grep, 7.554
BetrFS-0.2, linuxsrc, 32, grep, 6.863
BetrFS-0.2, linuxsrc, 32, grep, 6.838
BetrFS-0.2, linuxsrc, 32, grep, 6.855
BetrFS-0.2, linuxsrc, 32, grep, 6.772
BetrFS-0.2, linuxsrc, 32, grep, 7.163
BetrFS-0.2, linuxsrc, 32, grep, 6.764
BetrFS-0.2, linuxsrc, 32, grep, 6.772
BetrFS-0.2, linuxsrc, 32, grep, 7.171
BetrFS-0.2, linuxsrc, 32, grep, 6.814
BetrFS-0.2, linuxsrc, 32, grep, 6.689
BetrFS-0.2, linuxsrc, 32, grep, 6.589
BetrFS-0.2, linuxsrc, 32, grep, 6.863
BetrFS-0.2, linuxsrc, 32, grep, 7.233
BetrFS-0.2, linuxsrc, 32, grep, 6.788
BetrFS-0.2, linuxsrc, 32, grep, 6.755
BetrFS-0.2, linuxsrc, 32, grep, 7.305
BetrFS-0.2, linuxsrc, 32, grep, 6.705
