insertions,bins,balls,alpha,perc,observed,lower bound,upper bound
1.58,2309,12426,1.38763002673,1.2473837054,6.76270053476,5.44417213824,15.2639302941
1.59,2334,13734,1.36850957687,1.25458736851,6.33002291826,5.95637168087,16.4221149224
1.6,2356,13952,1.38140898162,1.26217097246,6.49926144756,5.99775564648,16.5769077794
1.61,2381,13080,1.38301609364,1.27157657375,6.58653846154,5.56720953365,15.21317703
1.62,2416,13080,1.3653021825,1.28170778798,6.44688644689,5.49021434216,15.0183240075
1.63,2443,13298,1.38056011252,1.28766821896,6.22371794872,5.52326694707,15.1861612377
1.64,2490,13516,1.39394766623,1.30018754202,5.78245614035,5.51309197776,15.3334243285
1.65,2517,13516,1.40906276141,1.30762238531,6.1696238467,5.45642935645,15.4996903755
1.66,2555,13516,1.43033585832,1.32344907492,5.98060941828,5.37861267182,15.7336944415
1.67,2588,12644,1.44880986354,1.33176906976,6.05728835137,4.969465129,14.4880986354
1.68,2627,13516,1.47064277879,1.34375743869,5.75071633238,5.23567392895,16.1770705667
1.69,2665,14606,1.49191587571,1.35543796632,5.86347390994,5.57919447844,16.4110746328
1.7,2715,13298,1.5199067927,1.37087943717,6.3152309613,4.98789265319,15.199067927
1.71,2734,14606,1.51785786157,1.37749213589,5.47441860465,5.44084385658,16.6964364772
1.72,2777,13080,1.507963847,1.38810785345,5.94803548796,4.79760906838,15.07963847
1.73,2809,14388,1.51017952728,1.39747851858,5.63744232037,5.21785046276,16.6119748001
1.74,2835,13080,1.51405613372,1.40185288504,5.85228002569,4.70001320482,15.1405613372
1.75,2880,2180,1.53262894736,1.41359592899,5.6509491733,0.771107001286,3.06525789472
1.76,2916,13952,1.55008936149,1.42638555305,5.22908011869,4.87420695948,15.5008936149
1.77,2968,14170,1.57773155861,1.44044823668,5.22190034762,4.86359214826,15.7773155861
1.78,3008,13516,1.58749146292,1.45162420661,5.06501182033,4.57689320397,14.2874231663
1.79,3045,12644,1.60701845233,1.45974346394,5.31040268456,4.22875201241,14.4631660709
1.8,3086,14824,1.62865646761,1.47101877665,4.97965474723,4.89073808931,16.2865646761
1.81,3128,13734,1.65082223937,1.48289229539,5.00056053812,4.46963622079,14.8574001543
1.82,3166,13952,1.65743422279,1.49287079605,5.17319461444,4.48481768961,14.9169080051
1.83,3203,13080,1.67680411105,1.5020385187,5.31447587354,4.15491755039,15.0912369995
1.84,3243,14824,1.67021343223,1.51129167053,4.93227326266,4.64905379799,16.7021343223
1.85,3287,14606,1.66789537629,1.52429505335,5.06036324786,4.51740739217,15.0110583866
1.86,3331,12426,1.6829236231,1.53576927029,4.93132328308,3.79062899622,13.4633889848
1.87,3380,14388,1.70767992977,1.54480525087,4.88031591738,4.32258903675,15.3691193679
1.88,3417,15260,1.71977573721,1.54993236953,4.90140056022,4.53269572578,15.4779816349
1.89,3458,14824,1.71944509908,1.55525639376,5.0,4.34842748197,15.4750058917
1.9,3492,14824,1.72094787975,1.5619660765,5.05350978136,4.30473144707,15.4885309177
