fs_size aged_time clean_time aged_layout_score clean_layout_score blocks_written logical_bytes_written
880904 384.4939458370209 0 0.6356682723 0 518264 445452242
887752 390.7706940174103 0 0.633865641623 0 515392 389783317
894472 377.6711139678955 0 0.632197354161 0 593968 398405993
904236 400.7217299938202 0 0.629110086743 0 565008 354886591
913356 389.70842599868774 0 0.627892485432 0 530232 492782085
922752 401.81238889694214 0 0.625482453205 0 568064 373129737
930888 406.39914298057556 0 0.624479747408 0 592536 380247060
942824 412.25253987312317 0 0.622282623557 0 574304 375835190
952184 435.75187706947327 0 0.619314827353 0 561048 363201641
961768 419.360867023468 0 0.62000375607 0 556792 460873053
969892 445.91424798965454 0 0.617988234981 0 577440 469447380
977976 429.80271315574646 0 0.616682356177 0 525776 531444272
985320 435.01393389701843 0 0.615627894249 0 576848 530071790
996624 441.8451030254364 0 0.613723183895 0 592384 400767956
1004264 460.51125288009644 0 0.612032605946 0 562072 358382306
1010936 455.65404200553894 0 0.611115384024 0 637576 389461959
1021300 457.3027000427246 0 0.610214029042 0 536240 345617962
1026952 461.05714106559753 0 0.609019131491 0 625288 369310158
1032280 465.5361828804016 0 0.608099472145 0 561672 319506654
1040796 468.7828760147095 0 0.607455340412 0 597024 420263854
1047996 473.42175006866455 0 0.60650712664 0 612168 436588943
1054924 507.664754152298 0 0.604471178241 0 631448 478606638
1062040 493.5789351463318 0 0.604226159279 0 597720 523447475
1068792 511.44184398651123 0 0.60227438473 0 643680 529468060
1077156 518.7413830757141 0 0.606382455864 0 668440 472543615
1086260 527.3323318958282 0 0.600508820514 0 625856 499514431
1093804 507.1792051792145 0 0.600335900299 0 659928 508441171
1102368 534.448979139328 0 0.59805067857 0 663888 496626111
1109092 542.4827029705048 0 0.597219740221 0 0 0
