round betrfs_time btrfs_time ext4_time f2fs_time xfs_time zfs_time
27 6.84481250001 6.88831249999 6.2298125 6.21412500001 6.85899999999 8.31650000001
28 6.81674999999 6.89518749999 6.382375 6.27937499999 7.16675 8.48793749999
29 6.833 6.4780625 6.43487499999 6.128125 6.83537499999 9.13156249999
30 6.87631249999 6.662875 6.3195 6.13074999999 6.71268749999 8.55793749999
31 6.84012499999 6.850375 6.29612499999 6.23693749999 6.77037500001 8.74225
32 6.83275 6.85712499999 6.27362500001 6.31925 6.68306250001 8.10337499999
33 6.81131250001 6.69406250001 6.39631249999 6.08618749999 7.28812499999 8.188125
34 6.80262500001 6.66656250001 6.38737499999 6.24006250001 7.05037499999 8.4554375
35 6.9140625 6.862375 6.310875 6.28043750001 6.6141875 8.67356250001
36 6.81106250001 6.75125000001 6.243 6.261875 6.60106250001 8.65543749999
37 6.83200000001 6.2581875 6.2025625 5.72837500001 6.24581250001 8.4025
38 6.83275 6.834875 6.43325 6.17793750001 7.49837499999 7.43912499999
39 6.90381249999 6.4780625 6.3590625 6.0618125 7.79406250001 8.37
40 6.79400000001 6.69774999999 6.62831250001 6.246625 7.99568749999 8.22137500001
41 6.8545625 6.575875 6.4846875 6.13943749999 7.90393749999 8.27381249999
42 6.82675 6.791125 6.51949999999 6.247125 7.93643750001 8.13299999999
43 6.87812499999 6.43956250001 6.98218749999 6.15725000001 7.66093750001 7.96237500001
44 6.856375 6.40993750001 6.35125 6.20000000001 7.56312500001 7.88687499999
45 6.83912500001 6.23981250001 6.542375 5.90193749999 7.43725000001 7.98731249999
46 6.8223125 6.35125 6.50037499999 6.0904375 7.44806250001 7.88762500001
47 6.84193749999 6.37743749999 6.48993749999 6.0133125 7.6291875 7.9479375
48 6.83168750001 6.51762500001 6.49281250001 6.05449999999 7.45668750001 7.92149999999
49 6.88706249999 6.386875 6.57325000001 6.01281250001 7.80037499999 7.7326875
50 6.83618749999 6.35831249999 6.2513125 6.12056249999 7.8265625 7.81718749999
51 6.88937500001 6.32687500001 6.51612500001 6.10556250001 7.64150000001 7.9055
52 6.839875 6.40100000001 6.6485 6.268375 7.5806875 8.21193749999
53 6.80500000001 5.91737500001 6.28806249999 5.6864375 7.43881249999 8.04206249999
54 6.8461875 6.4421875 7.01206249999 6.2173125 7.4189375 7.63706250001
55 6.86187500001 6.279125 6.5659375 6.13181250001 7.6863125 8.2509375
56 6.78531250001 6.45843750001 6.50668749999 6.514 7.61343750001 7.76656250001
57 6.8371875 6.2806875 6.70068750001 6.58612500001 7.67531250001 8.3684375
58 6.83412499999 6.25006249999 6.79475 6.63224999999 7.542375 7.983875
59 6.77175 6.25606249999 6.84193749999 6.49643750001 7.16518749999 7.99381250001
60 6.85449999999 6.46575 6.7885 6.58793750001 6.85562500001 8.06275
61 6.85531250001 6.18293750001 6.824625 6.52368749999 6.4888125 8.08031249999
