round betrfs_time betrfs_layout btrfs_time btrfs_layout ext4_time ext4_layout f2fs_time f2fs_layout xfs_time xfs_layout zfs_time zfs_layout
34 16.8807799901 0.994343291497 540.194627282 0.202352941176 632.654280482 0.0760785526519 2116.29822486 0.00329055610398 285.23907767 0.443910521955 590.607927431 0.0147551978538
35 18.3835979924 0.994278562489 552.651277355 0.193229901269 624.168061954 0.0754483611626 2229.33038506 0.00329055610398 295.131870166 0.433846663355 613.127848858 0.0119007710359
36 16.9257343262 0.994653359472 555.611897319 0.185452265245 643.999074378 0.0745322406062 2197.68204912 0.00329055610398 316.607536614 0.430511843631 627.254730951 0.0129107981221
37 17.4353196478 0.993607954545 567.46479554 0.176286563429 649.525454582 0.07622139765 2268.13610746 0.00329055610398 303.774343837 0.405530717006 622.869158303 0.0108950720751
38 18.4568866217 0.994867256637 576.085661101 0.170999060445 665.060237368 0.0692747796505 2264.8369364 0.00329055610398 311.630718282 0.401822700911 622.916858646 0.0120704107293
39 19.3490928912 0.993226381462 576.448103504 0.162670427833 667.324409658 0.074222978197 2289.87632672 0.00329055610398 314.405638061 0.389100546629 657.63117081 0.00938652363393
40 18.4269067797 0.994451405047 568.452381933 0.156147220047 707.873426446 0.0745322406062 2319.82157109 0.00329055610398 306.691480171 0.409912149843 671.722323926 0.00955414012739
41 18.5407890406 0.993298059965 583.999979433 0.146169512768 674.759472192 0.0715942477192 2355.63517155 0.00329055610398 318.2953143 0.399834299917 655.828893781 0.00871459694989
42 17.2660441007 0.993332163537 590.448792577 0.14431372549 719.048008888 0.0703463203463 2382.16593302 0.00329055610398 319.45613584 0.382844841861 671.955385058 0.0100586756077
43 18.5107166365 0.993987621574 597.285975811 0.142319158952 687.206207834 0.0692747796505 2382.80302781 0.00329055610398 306.861609347 0.376326259947 685.670180601 0.0105616093881
44 17.4226283528 0.994168581021 606.256767321 0.129133364676 730.024199854 0.0717488789238 2442.88771186 0.00329055610398 322.11664884 0.37622122868 674.317796611 0.00737388972683
45 17.3394664308 0.993983365776 603.770517937 0.123137254902 738.94644767 0.071583178726 2467.57100543 0.00329055610398 320.139244282 0.386569550542 698.355623663 0.00871751886002
46 20.0071067138 0.993102228511 593.324440512 0.121725490196 752.119651966 0.07128498531 2500.07758763 0.00329055610398 318.928223219 0.354325488896 700.823196066 0.00703989272544
47 19.1796013658 0.993083880121 626.376110744 0.121805925694 758.105963058 0.0715942477192 2531.86069401 0.00329055610398 311.787703637 0.350339572635 751.155833471 0.00837942014413
48 17.8799366464 0.993569131833 644.352281143 0.108412971957 763.380234903 0.0723674037421 2640.96414761 0.00329055610398 329.703862926 0.280318091451 751.20108606 0.00653704324506
