pulls 1024mb_time 1024mb_layout 1280mb_time 1280mb_layout 1536mb_time 1536mb_layout 2048mb_time 2048mb_layout 768mb_time 768mb_layout cold_time cold_layout cold_clean_time cold_clean_layout betrfs_time betrfs_layout
4300 302.130555288 0.589394442599 0.596959118913 1 0.589462816082 1 0.586683306696 1 432.774458108 0.587519118997 553.536419614 0.563673485211 72.4447617067 0.571511665482 15.2498072664 0.990049018295
4400 302.556883826 0.592551445272 0.591727422004 1 0.588594006569 1 0.588423234812 1 442.753942939 0.58404615821 560.828297619 0.561197466897 74.4997270116 0.569794314028 15.4073349754 0.990086625594
4500 299.576865212 0.592898756101 0.592473760317 1 0.587979706896 1 0.591153652434 1 447.39293925 0.58391099764 565.151252681 0.558931294812 72.7915671508 0.567100032914 14.8027880678 0.990359644291
4600 337.726407364 0.586043335425 0.599663737707 1 0.593544358963 1 0.635181543043 1 451.236760577 0.582106126478 574.165808589 0.555841504803 75.7885640266 0.563461442101 15.1248363717 0.990438724469
4700 329.992285316 0.586782881387 0.604796620856 1 0.590004903771 1 0.602786552202 1 462.893385163 0.578550653689 579.165977139 0.552890635655 75.5462439181 0.560668573449 14.9505789794 0.990414511114
4800 325.639673807 0.584408342318 0.597882606399 1 1.63953827321 1 0.591565153715 1 466.795622293 0.570795358335 586.317920965 0.547363340171 76.8919055993 0.557967953075 14.7489557994 0.990366624526
4900 324.522581704 0.57881022708 28.7594311159 0.539829779095 0.599503139698 1 0.597972071581 1 479.572481803 0.571111701979 596.024794927 0.547919156797 76.8504959295 0.556024514688 14.7029987683 0.990721277628
5000 334.340969322 0.577659129359 29.0657079137 0.587507966858 0.591662572165 1 0.598510241371 1 499.225861381 0.568509509067 599.789490311 0.546087382586 78.4332802328 0.554103161795 14.630143717 0.990504260751
5100 339.4568736 0.576898761963 49.8045170231 0.691844159782 0.617146134974 1 0.597433285878 1 505.456972042 0.56346517752 603.20333457 0.545284753073 77.7532141668 0.553190109922 14.4720845702 0.991235165578
5200 341.990049866 0.576968931903 53.2017895002 0.699292409143 0.594243809272 1 0.598062150524 1 523.6322568 0.56001099498 606.30650597 0.543922471201 77.1641432531 0.551886154025 14.4436494363 0.990610832737
5300 342.639392468 0.573805689748 13.3718586555 0.399423907825 0.592705922255 1 0.602600395094 1 524.96848912 0.558802234175 612.274082402 0.542087015911 77.2409407894 0.549658525292 14.2977003142 0.990960639636
5400 347.251005044 0.576381149842 2.44785632242 0.484732824427 0.603877920026 1 0.595397655167 1 514.839252088 0.563050992272 617.16580214 0.53993121022 77.3399053489 0.547521039151 14.7119563142 0.99087742191
5500 346.745629507 0.570698850256 10.4152872058 0.459515214028 0.596052753934 1 0.600611040724 1 525.757620029 0.558265599959 626.17347425 0.53775334781 78.193357956 0.545325538796 14.6339037155 0.990992245902
5600 346.35964727 0.574257005618 180.664007992 0.521113986772 0.603413703828 1 0.602263357282 1 537.471080604 0.551626687867 626.304326124 0.536251855586 80.5356337141 0.54425178134 14.4347783781 0.991009140515
5700 351.419357398 0.571305979253 196.698300572 0.529753265602 0.598398856325 1 0.606075411008 1 541.001989636 0.553835729693 635.814933166 0.53444806386 79.3733595425 0.541918582338 14.4694957112 0.99097431679
5800 397.659640817 0.56016202421 201.129386683 0.542654197601 0.600224277312 1 0.60155398191 1 543.448895349 0.554735517296 636.898460847 0.534021694357 80.4237125239 0.55859343988 14.2512146001 0.991009952867
5900 393.683951477 0.55663463585 201.536862868 0.540529348218 0.612023620901 1 0.600938551505 1 548.216259804 0.546646982345 637.304436478 0.53285573526 79.2755699473 0.540538775155 14.4063782451 0.991338039146
6000 381.43115961 0.562280825903 200.286298623 0.546987783351 0.598657671635 1 0.601507868344 1 541.516020322 0.558802634589 640.610598022 0.531836719301 81.3517617195 0.539710422942 13.9150004156 0.991258894843
6100 415.129141015 0.553858738068 197.645428408 0.554423583266 0.598515221248 1 0.606558688167 1 550.554313052 0.551211154437 645.448802661 0.53061605908 80.3160794509 0.538606211831 14.5233429765 0.990963364108
6200 398.569057526 0.555314665632 204.174123448 0.566351839054 0.618953943334 1 0.620652510135 1 568.082514462 0.539999308469 645.447479081 0.530714941292 81.7681025571 0.538543546872 14.238125295 0.991294087633
6300 401.576533302 0.554616091192 207.236298855 0.562943974304 0.610634541113 1 0.623537231182 1 566.210248392 0.543238008431 650.522620639 0.529484344203 81.1906554925 0.537460953647 14.0247141028 0.991549564241
6400 403.856515116 0.553417157218 211.77256582 0.572644948172 0.600219110191 1 0.602647231928 1 553.780370163 0.547281144683 654.196710485 0.528496980298 83.2269122041 0.536168317703 14.1880083276 0.991525159033
6500 404.394331934 0.547842963873 210.004034734 0.580496934315 0.605981369128 1 0.62404295722 1 571.09232086 0.543209316566 656.191808835 0.527511373417 83.3059298436 0.534954858941 13.9102952765 0.991530569191
6600 411.294522008 0.556235072736 207.478301817 0.580585875025 0.637653606225 1 0.621139307024 1 579.589617758 0.540440308823 662.167273659 0.525592426669 84.6463800176 0.53347297311 14.2658571044 0.991311858551
6700 429.038342783 0.5448294733 208.603874325 0.60477114901 0.603524804346 1 0.60676915398 1 571.579436589 0.543979926612 665.122567221 0.523882788656 83.9960324267 0.531328772958 14.0640405986 0.991510133713
6800 435.385380543 0.541415142401 266.103736451 0.589855810714 0.612795655783 1 0.608606987905 1 583.833996428 0.538108776402 668.181575177 0.523337039187 80.9876425121 0.53121062372 14.3069719583 0.991610771066
6900 450.419477812 0.552309012651 349.293480188 0.56489549275 2.047166247 1 0.608258956451 1 585.835325771 0.540284563989 673.799220198 0.52210413937 83.513642319 0.547406062963 14.3412553144 0.99131053994
7000 439.816686048 0.551831809582 345.327948636 0.563097867659 0.608195808694 1 0.606123042284 1 600.398409085 0.535683661856 678.8326487 0.520409095499 85.5226037312 0.502755008544 15.0317171611 0.991545524101
7100 448.480249987 0.555185555898 344.85399361 0.560098526395 0.667414503705 1 0.608319022619 1 591.06848106 0.540469383894 678.027620394 0.519460028886 86.859147613 0.527600656727 14.3098084614 0.99150524426
7200 452.218878476 0.555197575356 361.111526017 0.553374314781 8.67364986498 0.776281072073 0.607197983312 1 608.510912679 0.529409013915 681.064245141 0.518010542987 86.061391004 0.525971443721 13.7247330139 0.991610269031
7300 461.616845452 0.550185548461 358.405568092 0.551491593295 0.625490201994 1 0.607565400487 1 591.514365483 0.538237545515 685.161115971 0.516702752861 84.9303249512 0.524242082829 13.9528995825 0.991973590524
7400 481.20656907 0.553831943773 370.92454145 0.549714787901 3.37386499689 0.536866359447 0.608242840381 1 614.204166767 0.525306095391 687.974477097 0.514506940731 86.6741403669 0.522033172022 14.0929460394 0.991670650535
7500 478.413492971 0.540214685267 368.252360285 0.547231030763 0.611994601343 1 0.611540370301 1 605.415330031 0.53198551142 694.608567141 0.512365019991 85.9257560253 0.534002724809 14.135387796 0.991606145761
7600 476.991103887 0.545863020344 380.279214293 0.54260763155 0.62665658 1 0.6158912956 1 632.456821309 0.519468587037 700.072620783 0.511079923515 82.3221166442 0.516320649586 14.2041839391 0.991611083755
7700 491.544283552 0.540075661151 374.391539884 0.544602016429 11.3619359807 0.671921689851 1.19543538413 1 611.41643444 0.527777365858 700.723554522 0.509887336638 83.4197106724 0.517482991047 13.7894857031 0.992152197651
7800 545.011940825 0.545586507989 385.89495738 0.54360545898 79.1520138315 0.621158374817 0.614699935668 1 636.639194754 0.517329496964 707.24781385 0.508385421546 87.2303568146 0.52479985582 13.9725341191 0.992291903415
7900 503.270652015 0.542593892197 415.176623219 0.533734475157 158.093230772 0.539645334204 0.625483703016 1 632.514023693 0.516580414773 713.960962154 0.506655368428 83.9686039228 0.529663395684 14.5024787648 0.992111999164
8000 505.743491532 0.54321444594 413.717798414 0.534131501757 184.814383178 0.535449430534 0.611097092804 1 654.729140288 0.513528395747 720.17672108 0.504877643333 83.8818007881 0.512846131261 14.0514495994 0.992081116907
8100 580.461754887 0.519802820788 412.110664527 0.523933429705 213.221059598 0.532098346496 0.61523635168 1 685.274331238 0.50016204604 717.093631713 0.505399979231 86.817554727 0.478535676986 13.5044592501 0.99217499404
8200 574.327777655 0.529573640185 451.760389403 0.525840585572 219.057920406 0.564343476838 0.615862366257 1 703.847671655 0.495416196707 720.247615838 0.503942886072 85.7178555243 0.511505862531 14.1506333452 0.992140367341
8300 531.037132585 0.531811850076 447.843177078 0.5232380249 219.453524019 0.564154619809 0.613783926192 1 709.431898125 0.49431775016 726.553814971 0.502128455817 86.4856161488 0.51221750761 14.1903692664 0.991956319975
8400 566.837030945 0.531308747598 445.099105939 0.523516043043 217.961744888 0.561038870001 0.617597074179 1 711.93204726 0.494501464656 728.416868609 0.500656569708 85.9862396671 0.508419886325 13.3717266695 0.992369517926
8500 583.085046761 0.521008661309 441.700260445 0.516680211567 219.070032179 0.556467374667 0.615015658968 1 714.328475376 0.491419073708 736.379954907 0.499715906717 87.6432507695 0.507336789386 13.4635498504 0.992325421734
8600 563.939982371 0.521351810681 440.317781345 0.518133722581 216.309575025 0.556603442836 0.615040619154 1 715.596114112 0.493187631593 735.815060053 0.499440382033 85.0273242293 0.507118191025 13.5433834238 0.99256363887
8700 576.387671376 0.515877089124 444.900941557 0.512980416865 216.393378581 0.555580143959 0.614607002959 1 718.767483552 0.4929867827 737.29115097 0.498349957206 87.4309740722 0.522532911427 13.8762331169 0.992527649306
8800 597.253410603 0.517037519554 444.447782202 0.511537499278 217.022010269 0.547912069759 0.634950983892 1 719.971816263 0.492175961891 738.524565532 0.497636974023 85.0488478747 0.505249413445 13.667652098 0.992461095284
8900 586.242441479 0.516209316853 443.604649033 0.512193878201 216.73078041 0.549143351331 0.620847353787 1 722.03874629 0.489958934508 743.234467302 0.496089589113 88.6771391281 0.503802057775 13.7677784922 0.992327365729
9000 584.403118895 0.515296381336 446.868005208 0.513299163404 226.436370796 0.544274001888 0.617009765697 1 725.558567487 0.489339131831 746.178094372 0.495294425332 86.7866864338 0.509376756045 13.7724765034 0.992614673127
9100 581.365957642 0.51457692914 442.469846711 0.509266090053 225.703263907 0.538985538825 0.633396659351 1 725.702464053 0.488281643339 745.432725586 0.494882290689 85.5779303768 0.484102424236 13.6260564344 0.99268708675
9200 595.901491548 0.513149987122 446.172182405 0.510103539369 319.682942735 0.540264946836 0.6151569006 1 728.912261592 0.48698111638 750.028854924 0.493777892378 86.7667895606 0.501310720102 13.3808144944 0.992448734349
9300 611.57912254 0.512589649293 471.821326474 0.503917624809 316.851242529 0.51982478599 0.642342302101 1 731.928967675 0.48561624887 751.665287885 0.492786444897 83.4442093177 0.50061324531 13.6399677985 0.992627139515
9400 646.788910235 0.49942975072 462.256781295 0.510662600167 326.468447864 0.517847995902 0.621938073025 1 735.382392622 0.485098883082 754.318839053 0.492121302215 84.9867400495 0.499815915838 13.4214112129 0.992777302712
9500 640.755144514 0.503108950802 463.950973024 0.510659070479 349.964496619 0.509263156284 0.619113688528 1 729.222759536 0.486630161896 755.839554701 0.491013846369 85.8879768232 0.498644322297 13.2098913666 0.992327365729
9600 645.15453685 0.499456842656 477.407906202 0.506568621752 375.063364408 0.523846922256 0.624194031306 1 739.703637777 0.482431344955 761.439907213 0.490051538824 86.3051721754 0.497393931667 13.0165433716 0.992448734349
9700 717.52898204 0.490991348188 515.387529442 0.510431769062 435.083058721 0.513751955696 0.621591218442 1 741.146051396 0.481991992875 764.959460552 0.489255888508 90.91593127 0.505643232065 13.2524500617 0.992627139515
9800 674.105410561 0.495225255105 509.322439075 0.514189583769 418.195800601 0.518483923344 0.622268150295 1 740.630670131 0.481926508054 766.8589412 0.488308204396 88.6801034851 0.506744694417 12.8245469773 0.992527649306
9900 675.378431517 0.495160923437 504.319380542 0.513211918746 415.501427468 0.518065693431 0.621278126229 1 745.021727913 0.480187284181 770.225018822 0.487204538767 90.6310196839 0.494940376138 12.919798423 0.992614673127
10000 674.14515361 0.499721533087 510.260504198 0.511742278611 438.157931681 0.511470044547 0.632064774356 1 753.950501184 0.47889246559 768.147521413 0.486462486137 86.9984389307 0.492891730347 12.8608310925 0.992777302712
